New best MSE (sub): 0.2537 (kernel: 13, sigma: 2.10)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.20)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.20)
New best SSIM (sub): 0.1687 (kernel: 13, sigma: 2.20)
New best MSE (sub): 0.2536 (kernel: 13, sigma: 2.20)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.30)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.30)
New best SSIM (sub): 0.1687 (kernel: 13, sigma: 2.30)
New best MSE (sub): 0.2536 (kernel: 13, sigma: 2.30)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.40)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.40)
New best SSIM (sub): 0.1687 (kernel: 13, sigma: 2.40)
New best MSE (sub): 0.2536 (kernel: 13, sigma: 2.40)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.50)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.50)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 2.50)
New best MSE (sub): 0.2535 (kernel: 13, sigma: 2.50)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.60)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.60)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 2.60)
New best MSE (sub): 0.2535 (kernel: 13, sigma: 2.60)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.70)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.70)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 2.70)
New best MSE (sub): 0.2535 (kernel: 13, sigma: 2.70)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.80)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.80)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 2.80)
New best MSE (sub): 0.2534 (kernel: 13, sigma: 2.80)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 2.90)
New best MSE (div): 0.3614 (kernel: 13, sigma: 2.90)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 2.90)
New best MSE (sub): 0.2534 (kernel: 13, sigma: 2.90)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.00)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.00)
New best SSIM (sub): 0.1688 (kernel: 13, sigma: 3.00)
New best MSE (sub): 0.2534 (kernel: 13, sigma: 3.00)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.10)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.10)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.10)
New best MSE (sub): 0.2534 (kernel: 13, sigma: 3.10)
